word,word_pos,approved_definition,correct_example,incorrect_example
separate,ADJ,not connected,These two tracks are not connected to the other two.,These two tracks are separate from the other two.
separation,NOUN,the action or result of separating,Separation of these parts is not easy.,
sequence,NOUN,the relation of items that follow one after the other in a list or the relation of steps or events that occur one after the other in time,Tighten the bolts in the sequence that is given in figure 3.,
serration,NOUN,one or more notches or teeth as in a saw,Make marks that show the location of the serrations on the plates.,
serviceable,ADJ,correct or satisfactory,Do a visual inspection of the adapter to make sure that it is serviceable.,
servicing,NOUN,the steps necessary to prepare something for operation,"Before you do the servicing of the hydraulic system, isolate it.",
set,NOUN,A group of related items that you (can) use for the same purpose,Use the set of tools that is supplied with the unit.,
set,VERB,"to put something into a given adjustment, condition, or mode",Set the altimeter scale to 1013 mbar.,
shake,VERB,to move or cause to move quickly up and down or from side to side,Shake the container.,
shape,NOUN,the contour of an object,The patch must be the same shape as the cutout.,
sharp,ADJ,that can cut or make a hole,Make a hole with a sharp tool.,
sheet,NOUN,a piece of material that is thin in relation to its length and width,"If the sheets are not thicker than 5 mm, remove the dents.",
shiny,ADJ,that can cause a reflection of light,Clean the shiny area of the oleo strut.,
shock,NOUN,the sudden effect of energy on a person or object,Shocks can cause damage to the gyro.,
show,VERB,to cause to be seen,The indicator shows the level of hydraulic fluid in the reservoir.,
side,NOUN,the specified surface or area of an object,Lubricate one side of the washer.,
sign,NOUN,the indication of a possible condition,Examine the surface for signs of internal damage.,
similar,ADJ,almost the same,The two items have almost the same shape.,The two items are similar in shape.
simulate,VERB,to make a condition that is the same as one that can occur in operation,Simulate a wheel speed of 80 knots.,
simultaneous,ADJ,at the same time,You must remove the filter element and the filter housing at the same time.,Simultaneous removal of the filter element and the filter housing is mandatory.
simultaneously,ADV,at the same time,Do the two steps at the same time.,Perform the two steps simultaneously.
since,SCONJ,"function word that shows: ""from some time in the past until a later time or now""","If it is more than two hours since you mixed the compound, do not use it.",
slope,NOUN,a surface that is not level,"If the aircraft is parked on a slope, make sure that wheel chocks are in position.",
slot,NOUN,a long opening that is not wide,Push the cables through the slot in frame 8 and attach them to the clips.,
slow,ADJ,at low speed,Make sure that the movement of the elevators is slow.,
slowly,ADV,in a slow manner,Turn the knob slowly.,
sluggish,ADJ,slow,"If the movement of the needle is too slow, replace the sensor.","If the movement of the needle is sluggish, replace the sensor."
small,ADJ,"less than average in dimension, quantity, quality, or capacity","When you refuel the aircraft, a small quantity of fuel comes out of the vent line.",
smell,VERB,to sense with the nose,"If you smell oil in the compartment, replace the recirculation filters.",
smoke,NOUN,a gas that has particles of burned material and that you can see,"When the concentration of smoke is more than the limit, an alarm operates.",
smoke,VERB,to breathe tobacco smoke,Do not smoke in the work area.,
smooth,ADJ,has a continuous uniform surface,Make sure that the painted surface is smooth.,
smoothly,ADV,in a smooth manner,Make sure that the reduction gear moves smoothly.,
snap,VERB,move quickly,The retaining clip must move quickly into position.,The retaining clip must snap into position.
soak,VERB,to put something into a liquid and keep it there until it is fully wet or soft,Soak the filter in the cleaning solution for 4 hours.,
soft,ADJ,"not hard, easy to go into or through",Make a mark with a soft pencil.,
soften,VERB,make soft,Put the tools in the solvent to make the compound soft.,Submerge tools in solvent to soften compound.
soiled,ADJ,dirty,Discard the dirty rags.,Scrap soiled rags.
solid,ADJ,has the properties of a solid,The rails are made from solid bars.,
solid,NOUN,material that is not a gas or a liquid,Examine the oil for solids.,
solution,NOUN,a liquid that includes a dissolved material,Prepare the solution in a container made of ceramic material.,
some,ADJ,related to a quantity not specified,Some models do not have this function.,
some,PRON,related to a quantity not specified,"Some models have this function, but some do not.",
something,PRON,a thing that is not determined or specified,"If something unusual occurs, do a bite test.",
sound,NOUN,something that you can hear,Increase the volume of the sound.,
source,NOUN,something that supplies energy or data,Use a hydraulic source to operate the swaging tool.,
space,NOUN,"a distance, area, or volume",Put the sealant into the space behind the flange of the water injector.,
spark,NOUN,"a hot, bright particle of a material that burns",Do not use test equipment that can cause sparks.,
speak,VERB,to use a voice to make words,Speak into the microphone.,
special,ADJ,for a specified function,Tighten the special nut.,
specially,ADV,in a special manner,The extractor is made specially to remove the pins.,
specified,ADJ,"given in, identified in, or related to, a specification",Inflate the tire with nitrogen to the specified pressure.,
speed,NOUN,the rate of movement,"If the wind speed is more than 20 knots, do not open the radome.",
spherical,ADJ,Has the shape of a sphere (TN),The accumulators are spherical and have bladders.,
spill,VERB,"to accidentally flow, or cause to flow, out of a container","If the electrolyte spills, remove it immediately.",
spin,VERB,turn quickly,Turn the wheel quickly with your hand.,Spin the wheel by hand.
spray,NOUN,a jet of very small drops of liquid,The sealant is resistant to salt spray.,
spray,VERB,to apply as a spray.,Do not spray disinfectants directly onto the carpets or instrument panels.,
stable,ADJ,that does not change or move,Make sure that the pressure indications are stable.,
standard,ADJ,related to equipment and procedures that are normally used,"In this procedure, use standard tools.",
start,NOUN,the beginning of a movement or operation,Movement can be slow at the start.,
start,VERB,"to begin a procedure, movement or operation",Start the engine.,
stay,VERB,to continue to be in a location or condition,"If the aircraft must stay in the hangar, make sure the exit is clear.",
steadily,ADV,continuously,"If the temperature increases continuously, stop the engine.","If the temperature increases steadily, stop the engine."
step,NOUN,a specified part of a procedure,Do steps 13 thru 16 for a minimum of three times.,
stop,VERB,"to cause the end of a procedure, movement or an operation",Stop the engine.,
stow,VERB,to move or cause to move into a specified position of storage.,Stow the life vest safely below the passenger seat.,
straight,ADJ,without curves or bends,Make sure that the straight part of the rigging pin is smooth.,
strip,NOUN,"a piece of material that is long and thin, but not wide",Put a strip of adhesive tape along the insulation blanket.,
strip,VERB,remove,Remove the insulation from the wire.,Strip the insulation from the wire.
stripe,NOUN,a line on a surface which is a different color,The flag has red and white stripes.,
strong,ADJ,"with much strength, power, or concentration",Moor the aircraft carefully when winds are strong.,
structural,ADJ,related to the structure,Structural repairs are specified in the structural repair manual.,
structurally,ADV,related to the structure,The list gives you structurally important items.,
structure,NOUN,a construction,Attach the wires to the structure.,
subassembly,NOUN,an assembly that is a part of a larger assembly,Do not change the position of the subassemblies.,
submit,VERB,send,Send the metal particles to a laboratory for analysis.,Submit metal particles for analysis.
subsequent,ADJ,following in an unspecified time or sequence,Subsequent repair operations will be for the new configuration only.,
subsequently,ADV,after an unspecified time,Make sure that the tool is subsequently available for the installation procedure.,
subtract,VERB,to take from a number or quantity,"Subtract coefficient ""a"" from the indication.",
such,ADJ,of the same group,"When you do work on such systems, use goggles.",
sudden,ADJ,that occurs in a short time,Sudden movement can cause damage to the limit stops.,
suddenly,ADV,in a sudden manner,"If the temperature increases suddenly, stop the engine.",
sufficient,ADJ,not less than necessary,Adjust the clamp until there is sufficient friction to keep it in position.,
sufficiently,ADV,not less than necessary,Loosen the locknut sufficiently until the piston rod can turn.,
sum,NOUN,the result when you add,Calculate the sum of the loads in each area.,
supply,NOUN,something that is supplied,Stop the electrical power supply.,
supply,VERB,to give something that is necessary,Supply electrical power to the pumps.,
surface,NOUN,one or more of the faces of something,"Rub the surface quickly with a soft, dry cloth.",
swallow,VERB,to take through the mouth and esophagus into the stomachnote: use for safety instructions only.,"If you swallow nitric acid, get medical aid immediately.",
symbol,NOUN,"a written sign that identifies a quantity, operation, item, or condition","The specification gives the symbols for relays, diodes, and other parts of the system.",
symmetrical,ADJ,has or with symmetry,Make sure that the position of the wing flaps is symmetrical.,
symmetrically,ADV,in a symmetrical manner,The elevators must move symmetrically.,
symptom,NOUN,a sign of a condition,"If the symptoms occur again, remove the unit.",
synchronized,ADJ,that operates at the same time,Make sure that the two rotors are synchronized.,
system,NOUN,an assembly of related parts to do a specified operation,Do not fill the system directly from a high-pressure cylinder.,
tacky,ADJ,sticky when you touch it,"When the compound is tacky, apply the patch.",
tag,VERB,to put a tag on,Tag and safety the circuit breakers.,
tap,VERB,to hit lightly and quickly,Tap the bolt with a mallet.,
task,NOUN,assigned work or procedure,Each step of the task has an identification letter.,
telescopic,ADJ,related to items that retract into each other,Install the telescopic ducts in the wing de-icing system.,
tell,VERB,to give information to a person or thing.,Put a warning notice in the cockpit to tell persons not to operate the flight controls.,
temporarily,ADV,in a temporary manner,Attach the cover temporarily.,
temporary,ADJ,"for a short time only, not permanent",This installation is only temporary.,
tertiary,ADJ,third in importance,"There are three classes of structure: primary, secondary, and tertiary.",
test,NOUN,the procedure where an object or system is operated to make sure that its performance and/or function is correct,Disconnect all systems which are not necessary for the test.,
than,SCONJ,function word that you use with comparative adjectives or adverbs,Make sure that the total angle is smaller than 20 deg.,
that,SCONJ,function word that starts a subordinate clause,Make sure that the surface is clean.,
that,PRON,function word that shows the person or thing referred to,Examine the unit to see if that is the problem.,
the,AUX,function word: definite article,Remove the seven flexible hoses.,
their,ADJ,belonging to persons or things,Write to the manufacturers for their repair scheme.,
them,PRON,function word that shows the persons or things referred to,"If the canopies are dirty, clean them.",
then,ADV,immediately after in time or sequence,Lift the cover. then pull the handle.,
there,ADV,in that position,"If the label is not there, attach a new one.",
there,PRON,function word that starts a sentence,There are three jacking points on the fuselage.,
these,ADJ,being the persons or things referred to,Remove these parts.,
these,PRON,function word that shows the persons or things referred to,These are special tools.,
they,PRON,function word that shows the persons or things referred to,Dents are not permitted if they prevent correct operation of the parts.,
thick,ADJ,that has large thickness,Apply a thick layer of grease on the bare metal.,
thickness,NOUN,the smallest of the three dimensions of an object,The thickness of the primer layer must be between 0.05 mm and 0.06 mm.,
thin,ADJ,that has small thickness,Apply a thin layer of sealing compound on the bare metal.,
think,VERB,to have an opinion,"If you think that the water will freeze, add antifreeze.",
this,ADJ,being the person or thing referred to,Do this test at full voltage.,
this,PRON,function word that shows the person or thing referred to,Refer to testing and fault isolation. this tells you the parts to replace.,
those,PRON,function word that shows the persons or things referred to,"When you examine the parts, discard those that are damaged.",
through,ADV,into one end or side and out of the other,"If fumes come through, do the emergency procedure",
through,ADP,into one end or side and out of the other,Make sure that the fluid that goes through the tube has no bubbles.,
thru,ADP,from a point in a sequence to another,Do steps 4 thru 10 again.,
thus,ADV,for that reason,"This boiler controller is applicable to all systems. thus, it can also control thermal oil heaters.",
tight,ADJ,not free,Make sure that the nuts are tight.,
tighten,VERB,to cause to be tight,Tighten the screws.,
tightly,ADV,in a tight manner,Hold the cylinder tightly.,
tilt,VERB,to move at an angle or to put something at an angle between the vertical and the horizontal,"To align the bolt, tilt it to the left side.",
time,NOUN,a duration that you can measure,The time between clicks must be 20 seconds.,
together,ADV,in one group or position,Attach the cables together.,
tolerance,NOUN,a permitted difference from a standard,The tolerance is plus or minus 0.2 mm.,
too,ADV,more than is necessary or correct,Make sure that the temperature is not too high.,
tool,NOUN,an object that you use to make or do something,Remove all tools and equipment.,
top,ADJ,that is uppermost,A number in the top left corner of the display refers to a related page.,
top,NOUN,the uppermost position,The vertical stabilizer is installed on the top of the fuselage tail section.,
torque,VERB,to tighten to a specified torque,Torque the plug to 6 nm.,
total,ADJ,all of,The total quantity of fuel in the center tank is 5000 lb.,
total,NOUN,the full quantity,Add the values. the total must not be more than 15 mm.,
touch,VERB,to be in contact,Make sure that the lock nut touches the spring.,
tow,VERB,to pull something along,Make sure that you complete the procedure before you tow the vehicle back to its initial position.,
transmit,VERB,to send energy or a signal,Make sure that the transponder transmits the signal correctly.,
transparent,ADJ,easy to see through,Put a transparent sheet of plastic on the surface.,
travel,NOUN,the movement of an item,Make sure that the range of travel of the control surfaces is clear.,
try,VERB,to make an effort to do something,Try to move the control column.,
tune,VERB,to adjust equipment to the best performance,Tune adf 1 to a known frequency.,
turn,NOUN,one full cycle of movement around an axis,Let the pressure become stable after each turn of the adjustment screw.,
turn,VERB,to move or cause to move around an axis or a point,Turn the control clockwise.,
twist,VERB,to use a force that turns something and causes a distortion,Do not twist the element.,
type,NOUN,a specified group,Find the type and dimensions of the damage.,
typical,ADJ,that has the important qualities of a group,This installation procedure is typical for this type of fastener.,
unauthorized,ADJ,not approved,"If you are not approved, do not do this engine test.","If you are unauthorized, do not do this engine test."
undamaged,ADJ,not damaged,Make sure that the skin is not damaged.,Check that skin is undamaged.
undemanded,ADJ,that occurs without an apparent cause,"If you get an undemanded movement, do a test of the system.",
unfold,VERB,to open or straighten from a folded position or condition,Unfold the sheeting carefully.,
unit,NOUN,equipment that does a function,You can replace a large number of units during engine installation.,
unknown,ADJ,not known,Do not use fuel with unknown properties.,
unless,SCONJ,except if,Do not remove the adapter from the stabilizer unless a repair is necessary.,
unlock,VERB,to release or become released from a locked condition,Make sure that the cabin differential is at zero before you unlock the door.,
unnecessary,ADJ,not necessary,Remove all ground equipment that is not necessary.,Remove unnecessary ground equipment.
unsatisfactorily,ADV,in an unsatisfactory manner,"If the elevators operate unsatisfactorily, move the control column.",
unsatisfactory,ADJ,not satisfactory,"If the condition of the filters is unsatisfactory, replace them.",
unserviceable,ADJ,not fit for its purpose,Replace the unserviceable bushings.,
until,SCONJ,up to the time that,Move the lever until the end of the link touches the lock bar.,
until,ADP,up to the time of,Keep the fire bottle armed until the end of the test.,
unusual,ADJ,in an unusual manner,Unusual loads can cause tread separation in the tires.,
unusually,ADV,in an unusual manner,The valve operates when there is an unusually large flow of fluid.,
unwanted,ADJ,that must not be there,Unwanted air goes out through the overflow port.,
unwind,VERB,to remove or become removed from around an object,Unwind the cable.,
up,ADJ,in a position above,Make sure that the anchor is up.,
up,ADV,to a position above,"If the pointer moves up, decrease the power.",
up,ADP,to a position above,Let the sleeve move up the guide tube.,
upstream,ADJ,in a direction opposite to the flow,Disconnect the upstream connection of the valve.,
upstream,ADV,in a direction opposite to the flow,Move the probe upstream and monitor the temperature again.,
upstream of,ADP,in a direction opposite to the flow,Disconnect the connection upstream of the valve.,
use,VERB,to make something do its specified function,Use the test box to do a test on the system.,
usual,ADJ,that you use or that occurs most frequently,"If you do not get the usual results, do a system test.",
usually,ADV,in a usual manner,"Usually, the hydraulic fluid flows into the valve through port a and out through port b.",
value,NOUN,a quantity that is calculated or given,Make sure that the values agree with the tolerances.,
vertical,ADJ,at 90 degrees to the horizontal,Measure the vertical distance between the two parts.,
vertically,ADV,at 90 degrees to the horizontal,The pointer moves vertically along the scale.,
very,ADV,to a high degree,Add the oil very slowly.,
vibration,NOUN,regular movement from a center position,Pressure surges and vibration can cause wear on the hoses.,
view,NOUN,the ability to see something,Make sure that you have a satisfactory view of all components.,
visual,ADJ,with the eyes,Remove the visual indicator from the valve.,
visually,ADV,with the eyes,Visually examine the duct.,
voice,NOUN,the sound you make when you speak,Speak into the microphone in your usual voice.,
volume,NOUN,the space that an object fills,Measure the volume of the oil carefully.,
wait,VERB,to stop doing something while another thing occurs.,"If the status of the fault is ""not confirmed"":

open the applicable circuit breaker.
wait for 4 minutes.
do the bite test.",
walk,VERB,to move on foot from one location to a different location.,Do not walk on this area of the wing.,
warm,ADJ,moderately hot,Keep the gaskets in a warm dry area.,
we,PRON,the manufacturer of the company which releases the documentationnote: do not use this pronoun for other meanings.,We do not recommend other alternatives.,
weak,ADJ,"with small strength, power, or concentration",Use a weak cleaning solution.,
wear,VERB,to become damaged by friction,The cable can wear quickly in this position.,
weather,NOUN,"conditions of the atmosphere: temperature, moisture, winds, clouds",Step 2 is only applicable if the weather is wet.,
weigh,VERB,to measure the weight of something,Weigh the two parts of the compound.,
weight,NOUN,the force caused when gravity acts on the mass of an object.,The basic weight of the aircraft does not include all items.,
wet,ADJ,"that has liquid on it, in it, or absorbed into it",Dry the wet surfaces.,
wet-motor,VERB,"to turn an engine with the starter, with fuel but without ignition",Wet-motor the engine and do a leak check of the fuel system.,
when,SCONJ,at the time that or during,"When the piston movement stops, measure the travel.",
where,SCONJ,"at, to, or in which location",Clean the area where you applied the sealant.,
which,PRON,the thing or things that,"Examine the emergency fuel pump, which is on the left side.",
while,SCONJ,at the same time,"Make sure that a person holds the item, while you disconnect it.",
who,PRON,the person or personnel that,"Person b, who operates the rear winch, must lock the fixture.",
wide,ADJ,that has large width,Repair the cracks that are wider than 0.05 mm.,
width,NOUN,"the smaller of two dimensions, the second-largest of three dimensions",Measure the width of the crack at the widest point.,
will,VERB,helping verb that shows simple future tensenote: no other forms of this verb,Warnings and cautions in this manual will help you to do the work safely and correctly.,
wind,VERB,to move around and around an object,Wind the tape on the reel.,
with,ADP,"function word that shows association or relationship, help or sharing, means or instrument",Align the mark with the longitudinal axis.,
without,ADP,not with,The smaller damage is permitted without repair.,
work,NOUN,"that which you do when you use physical strength, or mental power",Do the work in a clean area.,
write,VERB,"to record data or information as words, letters, or symbols",Write the test date on the certificate.,
yes,ADV,function word that shows the positive answer to a question,Does the light come on?  yes or no?,
you,PRON,the reader or user,You can continue the test if the pressure is sufficient.,
your,ADJ,related to the reader or user,"If you get solvent in your eyes, flush them immediately with water.",
